ID,Year,Month,Stage,ProjectNumber,Lead,ShortTitle,Programme,Funder,TotalBudget,StaffTime 
1141,2007,10,B,3008,JMH,Proteus 2012 - Statoil,D1,Statoil,116301.6088,87226.20663
1142,2007,10,B,3009,JMH,Proteus 2012 - Premier Oil,D1,Premier Oil,15000,11250
1143,2007,10,B,3010,JMH,Proteus 2012 - Exxon Mobil,D1,Exxon Mobil,116301.6088,87226.20663
1144,2007,10,B,3011,JMH,Proteus 2012 - Conoco-Phillips,D1,Conoco-Phillips,116301.6088,87226.20663
1145,2007,10,B,3012,JMH,Proteus 2012 - ENI,D1,ENI,15000,11250
1146,2007,10,B,2127C,EC,Global Coral disease database ,H1,NOAA/Japanese government + possibly PADI,24229.50184,22751.98682
1147,2007,10,B,2507,PB,EU China Biodiversity Programme,D4,"Foreign Economic Cooperation Office, China",7753.440589,7753.440589
1148,2007,10,B,2603,KT,Indian Ocean ESPA,H1,NERC,249975,134959
1149,2007,10,B,2268A,GF,EC Wildlife Trade Reg Contract 2008,D3,CITES,720000,600000
1150,2007,10,C,2037B,CB,FRIS - Stage 3,D4,,0,0
1151,2007,10,C,2138C,CB,Forest Certification 2010,D4,Private Sector,150000,150000
1152,2007,10,C,2178,NA,Drylands Watch,D4,UNCCD,59000,44250
1153,2007,10,C,2351,JDH,Biodiversity Yearbook,D4,"UNEP PCMU, UNEP DEWA",109032.7583,81774.56871
1154,2007,10,C,2383,CB,Global Mapping IAS,D4,New Zealand Government,132000,99000
1155,2007,10,C,2387,EC,World Atlas of Saltmarshes,H1,TNC,250000,187500
1156,2007,10,C,2389,JDH,Transition Plan,A1,Esme_ Fairbairn Foundation,200000,150000
1157,2007,10,C,2399,JMH,CITES Trade Data,A1,Japanese Government,9691.800737,7268.850552
1158,2007,10,C,2403,CDB,Vision 2020,D5,"UNEP PCMU, UNEP DEWA",518995.9294,389246.9471
1159,2007,10,C,2437,EC,Economic valuation of Ocean,H1,"World Bank, WRI, UNEP Partners",800000,560000
1160,2007,10,C,2447,NA,MA Sub Global Follow Up,D4,"UNEP PCMU, UNEP DEWA",411901.5313,218065.5166
1161,2007,10,C,2503,HG,Oceania Trees,D3," Australian Gov, Netherlands Gov, UK Gov",96918.00737,0
1162,2007,10,C,2504,DG,Paraguay-Parana Corridor IMapS,C3," Rio Tinto
",15000,15000
1163,2007,10,C,2520,IL,"PARITII - PA info for Eastern Europe, Caucasus, Central Asia",D5,UNDP,1545000,0
1164,2007,10,C,2523,PB,ARK 2010 (next phase),D4,Microsoft Research/EU,200000,175000
1165,2007,10,C,2524,NA,Arctic 2010 Biodiversity Assessment Report,D4,"CAFF, Arctic Governments",408482.4702,306361.8526
1166,2007,10,C,2525,NA,Ecosystem Status Indicators,D4,,200000,0
1167,2007,10,C,2526,CDB,Protected Areas of the World map series - Brazil,D5,Imagem,38767.20295,14537.7011
1168,2007,10,C,2396,LM,World Atlas of Biodiversity and Climate Change ,D2,"UNEP PCMU, UNEP DEWA, Norwegian Gov.",251986.8192,188990.1144
1169,2007,10,C,2544,JDH,Biodiversity and climate change,A1,Esme_ Fairbairn Foundation,255000,225000
1170,2007,10,C,2189J,NA,2010 BIP Norway,D4,Norwegian Government,24229.50184,18172.12638
1171,2007,10,C,2561,PB,Cloud Forest Landscape Strategies and Capacity,D4,GEF,80000,60000
1172,2007,10,C,2575,CB,IAS Indicators,D4,GEF,21806.55166,21806.55166
1173,2007,10,C,2510,JDH,Digital Access to UNEP-WCMC publications and reports,A1,Stanford University/Moore Foundation,60000,35000
1174,2007,10,C,2586,CB,Red Sea - Dead Sea,D4,Nippon Koei,0,0
1175,2007,10,C,2540A,KB,Scoping the Science for the Economics of Biodiversity Loss,D4,EC,0,0
1176,2007,10,C,2625,GF,Livelihoods & CITES,D3,UNEP DELC,153251.5991,19383.60147
1177,2007,10,D,2194,LM,Global Targeting of Landscape Interventions,D2,ICRAF,0,0
1178,2007,10,D,2367,EC,Assessing the impacts of Protected Areas on local economies,H1,UNEP DEWA,20000,15000
1179,2007,10,D,2391,CR,Seagrass Database,C2,University of New Hampshire,10000,7500
1180,2007,10,D,2400,DG,West and Central Africa IMAPS,C3,IPIECA,60000,45000
1181,2007,10,D,2405,LF,Qinetiq,C2,Qinetiq,5000,3750
1182,2007,10,D,2409,DG,Advanced Alerts for Conservation,C2,World Bank,200000,150000
1183,2007,10,D,2439,PB,Information management in Protected Areas,D4,PRONATURA and Government,80000,60000
1184,2007,10,D,2458,EC,Island Assessment,H1,Nippon Foundation,261678.6199,196258.9649
1185,2007,10,D,2460,LM,Regional Scenario Manual,D2,CBD,0,0
1186,2007,10,D,2527,THJ,Protected Areas for the Mining Sector,A1,Intierra,0,0
1187,2007,10,D,2528,EC,Critical Ecosystem Dataset,H1,,0,0
1188,2007,10,D,2529,JMH,Satellite Imagery,A1,"WRI, National Geographic",0,0
1189,2007,10,D,2530,EC,Kelp Dataset,H1,TNC,0,0
1190,2007,10,D,2531,EC,Global Marine Database,H1,NOAA,0,0
1191,2007,10,D,2532,CDB,Practical definitions for marine monitoring,D5,JNCC with MRAG Ltd,6500,0
1192,2007,10,D,2533,JMH,"Joint programme for biofuels, landuse and biodiversity",A1,Corporate target,0,0
1193,2007,10,D,2536,JDH,Scholarship scheme for UNEP-WCMC,A1,,0,0
1194,2007,10,D,2542,EC,Revised World Atlas of Mangroves,H1,ITTO and others,0,0
1195,2007,10,D,2559,LM,VivoCarbon ,D2,AusAid,0,0
1196,2007,10,D,2568,CB,Biodiversity Offsets,D4,,0,0
1197,2007,10,D,2535,NA,National Agency Biodiversity Assessment Tool (NABAT),D4,,0,0
1198,2007,10,D,2573,LM,Climate change & AZE,D2,,0,0
1199,2007,10,D,1243A,KT,MBRS watershed mod follow up,H1,USAID,0,0
1200,2007,10,D,2215,CDB,MIGRATORY WATER BIRDS (GEF Flyways additional funding),D5,UNEP DEWA,13383.40764,13383.40764
1201,2007,10,D,2600,LM,"Planning for Climate Change: The effects of climate change on protected area coverage of forest ecosystems
",D2,,34324,34324
1202,2007,10,D,2601,CDB,"Transboundary Conservation Governance:
Tools for Strengthening Global Co-operation
",D5,,61500,42500
1203,2007,10,D,2604,EC,Pressures in the UK marine environment,H1,MRAG + others,20000,5000
1204,2007,10,D,2609,CB,Preparation for the World Congress,D4,Unknown,0,0
1205,2007,10,D,2617,PH,Maintenance and further development of the Knowledge Management portal,D4,UNEP DELC,0,0
1206,2007,10,D,2618,PH,Online reporting for the CMS family of agreements,D4,UNEP DELC,0,0
1207,2007,10,D,2619,PH,Further developing the harmonization of reporting agenda,D4,UNEP DELC,0,0
1208,2007,10,D,2620,PH,Workshop on further developing knowledge management,D4,UNEP DELC,0,0
1209,2007,10,D,2621,DG,IPIECA: Modernise IMAPS facility,C2,IPIECA,0,0
1210,2007,10,D,2613,LM,Knowledge Transfer Network - forest carbon,D2,NERC,0,0
1211,2007,10,D,2614,GF,Wiki CITES,D3,CITES Secretariat,4845.900368,2907.540221
1212,2007,10,D,2594,CDB,Developing Global Updates for the World Database on Protected Areas,D5,,61000,44600
1213,2007,10,D,1172N,JMH,Great Apes Online,D1,Arcus Foundation,200000,200000
1214,2007,10,D,2626,JMH,Atlas of Biodiversity & Climate Change,A1,Defra,100000,100000
1215,2007,10,D,2627,JMH,Reconciling KBAs & HVCFs,A1,Various inc TNC & CI,200000,200000
1216,2007,10,D,2037C,LM,FRIS carbon,D2,,0,0
1217,2007,10,F,2591,DG,Information Management Guidelines,C2,World Bank,48859.61655,1
1218,2007,10,F,2515,JDH,BioVeritas - Using EO data to develop a biodiversity monitoring system for Africa,A1,EC 7th Framework (Cooperation),2400000,3
1219,2007,10,F,2543,PH,Usefulness of National Reports & NBSAPs,D3,UNEP DELC,10256.41026,1
1220,2007,10,F,2401,DG,Support to Regional Seas,C3,IMO,5000,1
1221,2007,10,F,2589,CB,Reviewing targets and indicators for the ecosystem approach,D4,Defra,56489,2
1222,2007,10,F,2446,CDB,Protected Areas Climate Change,D5,"UNEP PCMU, UNEP DEWA",491858.8874,3
1223,2007,10,F,950,JMH,ECOiSHARE,A1,Rio Tinto,50000,1
1224,2007,10,F,950,JMH,ECOiSHARE,A1,BP,50000,2
1225,2007,11,1,2581,IL,Freiburg forest classification,D5,University of Freiburg,45070,45070
1226,2007,11,1,2620,CDB,Development of knowledge managemt of global PA's,D5,German Government,0,0
1227,2007,11,1,2620A,CDB,Integrating marine data into WDPA,D5,German Government,18150.01048,15018.51
1228,2007,11,1,2620B,CDB,Marine PA's in the High Seas,D5,German Government,17693.97304,17344.79
1229,2007,11,1,2620C,CDB,Integrating Management Effectiveness into the WDPA,D5,German Government,23728.61233,21626.52
1230,2007,11,1,2620D,LM,Carbon Storage function of ecosystems & Pas,D2,German Government,31977.09337,31278.72
1231,2007,11,1,2620E,CDB,Assessing progress towards 2010 & 2012 CDB PA targets,D5,German Government,25431.2452,20884.84
1232,2007,11,1,2620F,CDB,Further development of CBD web page,D5,German Government,12176.12962,9731.82
1233,2007,11,1,2507,PB,EU China Biodiversity Programme,D4,"Foreign Economic Cooperation Office, China",7780.587434,0
1234,2007,11,1,2617,KT,Activities A-F,H1,UNEP Regional Seas Programme,0,0
1235,2007,11,1,2617A,EC,Dredging Around Coral Reefs (2368A - Staff Time Only),H1,UNEP Regional Seas Programme,4801.92,4801.92
1236,2007,11,1,2617B,SH,GCRMN Report,H1,UNEP Regional Seas Programme,4802.92,4802
1237,2007,11,1,2492b,EC,Publication on West Africa Mangroves (2167C),H1,UNEP Regional Seas Programme,2401,0
1238,2007,11,1,2617D,KT,Establishing national & regional systems of MPA,H1,UNEP Regional Seas Programme,4802,0
1239,2007,11,1,2617E,KT,Manual on the Ecosystem Approach for Regional Seas,H1,UNEP Regional Seas Programme,12005,0
1240,2007,11,1,2617F,KT,MPA Peer Review (2502),H1,UNEP Regional Seas Programme,2401,2400.96
1241,2007,11,1,2614,GF,Wiki CITES,D3,CITES Secretariat,7316.716258,7317
1242,2007,11,1,2513,AG,Packard OE Grant,A1,Packard Foundation,14588.60144,0
1243,2007,11,1,1054I,NB,EU South Asia Toolkit,H1,UNEP-DEPI,40110.44906,8235.24
1244,2007,11,A,2453,GF,CMS Party Reports 2008,D3,CMS Secretariat,38637.82353,30000
1245,2007,11,A,2368,EC,Dredging Policies (Travel & DSA Only),H1,Defra also local governments,5000,5000
1246,2007,11,A,2244,THJ,IHS Energy,A1,Cairn Energy,2269.972132,2269.972132
1247,2007,11,A,2244,THJ,IHS Energy,A1,Ecopetrol,5000,5000
1248,2007,11,A,2127b,EC,Coral Disease V,H1,NOAA,12074.31985,6037.159927
1249,2007,11,A,2558A,KB,PEP RED,D4,WWF,10000,8750
1250,2007,11,A,2512,CB,EC support for CBD implementation (ENTRP),D4,EC,250019.6444,187514.7333
1251,2007,11,A,2628,MM,UNEP Project Document 2008-9 (OTA),D1,UNEP,241486.3971,181114.7978
1252,2007,11,A,2579,MM,UNEP Project Document 2008-9 (FP),D1,UNEP,193189.1177,144891.8382
1253,2007,11,A,2490,GF,CITES Support 2008-11,D3,CITES,193189.1177,193189.1177
1254,2007,11,A,2540,KB,COPI: 2010 biodiversity target,D4,EC,11429.46946,8572.102094
1255,2007,11,A,2587,CB,Scoping the potential benefits of undertaking an ecosystem assessment for England,D4,Defra,50564,11766
1256,2007,11,A,2521,CB,GBIF for 2010,D4,GBIF,21430.25523,21430.25523
1257,2007,11,A,2538,CB,FCO MA Follow Up,D4,FCO,70000,24000
1258,2007,11,A,2560,CB,"EC Biodiversity Knowledge Base
",D4,European Commission  via MRAG,151727,41839.7
1259,2007,11,B,950,JMH,ECOiSHARE,A1,Rio Tinto,50000,12500
1260,2007,11,B,950,JMH,ECOiSHARE,A1,BP,50000,12500
1261,2007,11,B,1122,JMH,Proteus 2008,A1,Exxon Mobil,38637.82353,28978.36765
1262,2007,11,B,2441,PB,Building national capacity for biodiversity indicators and reporting on MDG-7 and the 2010 Biodiversity Target in Southern and Eastern Africa,D4,"UNDA and also UNEP PCMU, UNEP DEWA",264910.5776,56507.81691
1263,2007,11,B,2450,CB,Plant Conservation Report,D4,CBD,130000,30000
1264,2007,11,B,2457,EC,Island Database Workshop,H1,Italian Embassy,38000,28500
1265,2007,11,B,2506,LM,SEARCH ITN,D4,EC 7th Framework (Marie Curie),127399.2957,22307
1266,2007,11,B,2395,CDB,Web-based Literature  review - conservation,D5,"Manchester Uni, ESRC",5000,5000
1267,2007,11,B,2567,GF,Analysis of OTCA CITES reports,D3,OTCA,250000,225000
1268,2007,11,B,2572,LM,Climate change & Natura 2000,D4,EC,37660.55,19206.8805
1269,2007,11,B,2590,KB,Benefits of Global Biodiversity Assets to UK Citizens: A Literature Review,D4,Defra,38548,9198
1270,2007,11,B,2574,CB,Technical Support to the EU Strategy on IAS,D4,EC,178585.4603,57147.34729
1271,2007,11,B,3000,THJ,Proteus 2012 - BP,D1,BP,77275.64706,57956.7353
1272,2007,11,B,3001,THJ,Proteus 2012 - Chevron,D1,Chevron,115913.4706,86935.10295
1273,2007,11,B,3002,THJ,Proteus 2012 - BHP Billiton,D1,BHP Billiton,115913.4706,86935.10295
1274,2007,11,B,3003,THJ,Proteus 2012 - Shell,D1,Shell,115913.4706,86935.10295
1275,2007,11,B,3004,THJ,Proteus 2012 - Total,D1,Total Foundation,115913.4706,86935.10295
1276,2007,11,B,3005,THJ,Proteus 2012 - Anglo American,D1,AngloAmerican,115913.4706,86935.10295
1277,2007,11,B,3006,THJ,Proteus 2012 - Rio Tinto,D1,Rio Tinto,115913.4706,86935.10295
1278,2007,11,B,3007,THJ,Proteus 2012 - Repsol,D1,Repsol,115913.4706,86935.10295
1279,2007,11,B,3008,THJ,Proteus 2012 - Statoil,D1,Statoil,115913.4706,86935.10295
1280,2007,11,B,3009,THJ,Proteus 2012 - Premier Oil,D1,Premier Oil,15000,11250
1281,2007,11,B,3010,THJ,Proteus 2012 - Exxon Mobil,D1,Exxon Mobil,115913.4706,86935.10295
1282,2007,11,B,3011,THJ,Proteus 2012 - Conoco-Phillips,D1,Conoco-Phillips,115913.4706,86935.10295
1283,2007,11,B,3012,THJ,Proteus 2012 - ENI,D1,ENI,15000,11250
1284,2007,11,B,2127C,EC,Global Coral disease database ,H1,NOAA/Japanese government + possibly PADI,24148.63971,22676.05566
1285,2007,11,B,2606,LM,Impact of Climate Change on Carbon Storage in PAs,D2,TNC,16904.04779,13523.23824
1286,2007,11,B,2268A,GF,EC Wildlife Trade Reg Contract 2008,D3,CITES,720000,600000
1287,2007,11,B,2622,PH,Integrated reporting to the Rio Conventions,D4,GEF through UNEP,869351.0295,241486.3971
1288,2007,11,B,2617,PH,Maintenance and further development of the Knowledge Management portal,D4,UNEP DELC,144891.8382,130402.6544
1289,2007,11,B,2618,PH,Online reporting for the CMS family of agreements,D4,UNEP DELC,144891.8382,130402.6544
1290,2007,11,B,2619,PH,Further developing the harmonization of reporting agenda,D4,UNEP DELC,38637.82353,19318.91177
1291,2007,11,B,2620,PH,Workshop on further developing knowledge management,D4,UNEP DELC,21733.77574,19560.39816
1292,2007,11,B,2451,IL,Landuse planning in East Africa,C2,WWF UK,20000,15000
1293,2007,11,B,2633,PH,Outreach for Knowledge Management,D4,UNEP DELC,9659.455883,4829.727941
1294,2007,11,C,2037B,LM,FRIS - Stage 3,D4,,0,0
1295,2007,11,C,2138C,CB,Forest Certification 2010,D4,Private Sector,150000,150000
1296,2007,11,C,2178,NA,Drylands Watch,D4,UNCCD,59000,44250
1297,2007,11,C,2351,JDH,Biodiversity Yearbook,D4,"UNEP PCMU, UNEP DEWA",160726.9143,120545.1857
1298,2007,11,C,2383,CB,Global Mapping IAS,D4,New Zealand Government,132000,99000
1299,2007,11,C,2387,EC,World Atlas of Saltmarshes,H1,TNC,250000,187500
1300,2007,11,C,2389,JDH,Transition Plan,A1,Esme_ Fairbairn Foundation,200000,150000
1301,2007,11,C,2399,JMH,CITES Trade Data,A1,Japanese Government,14286.83682,10715.12762
1302,2007,11,C,2403,CDB,Vision 2020,D5,"UNEP PCMU, UNEP DEWA",765060.1119,573795.0839
1303,2007,11,C,2437,EC,Economic valuation of Ocean,H1,"World Bank, WRI, UNEP Partners",800000,560000
1304,2007,11,C,2447,NA,MA Sub Global Follow Up,D4,"UNEP PCMU, UNEP DEWA",410526.875,217337.7574
1305,2007,11,C,2503,HG,Oceania Trees,D3," Australian Gov, Netherlands Gov, UK Gov",96594.55883,0
1306,2007,11,C,2504,DG,Paraguay-Parana Corridor IMapS,C3," Rio Tinto
",15000,15000
1307,2007,11,C,2520,IL,"PARITII - PA info for Eastern Europe, Caucasus, Central Asia",D5,UNDP,1545000,0
1308,2007,11,C,2523,PB,ARK 2010 (next phase),D4,Microsoft Research/EU,200000,175000
1309,2007,11,C,2524,NA,Arctic 2010 Biodiversity Assessment Report,D4,"CAFF, Arctic Governments",417889.9771,313417.4828
1310,2007,11,C,2525,NA,Ecosystem Status Indicators,D4,,200000,0
1311,2007,11,C,2526,CDB,Protected Areas of the World map series - Brazil,D5,Imagem,38637.82353,14489.18382
1312,2007,11,C,2396,LM,World Atlas of Biodiversity and Climate Change ,D4,"UNEP PCMU, UNEP DEWA, Norwegian Gov.",251145.853,188359.3897
1313,2007,11,C,2544,JDH,Biodiversity and climate change,A1,Esme_ Fairbairn Foundation,255000,225000
1314,2007,11,C,2189J,NA,2010 BIP Norway,D4,Norwegian Government,24148.63971,18111.47978
1315,2007,11,C,2561,PB,Cloud Forest Landscape Strategies and Capacity,D4,GEF,80000,60000
1316,2007,11,C,2575,CB,IAS Indicators,D4,GEF,21733.77574,21733.77574
1317,2007,11,C,2510,JDH,Digital Access to UNEP-WCMC publications and reports,A1,Stanford University/Moore Foundation,60000,35000
1318,2007,11,C,2586,CB,Red Sea - Dead Sea,D4,Nippon Koei,0,0
1319,2007,11,C,2540A,KB,Scoping the Science for the Economics of Biodiversity Loss,D4,EC,0,0
1320,2007,11,C,2625,GF,Livelihoods & CITES,D3,UNEP DELC,152740.1461,19318.91177
1321,2007,11,C,2602,LM,RSB biodiversity criteria,D4,"Federal Office for the Environment, Switzerland",45000,45000
1322,2007,11,D,2194,LM,Global Targeting of Landscape Interventions,D4,ICRAF,0,0
1323,2007,11,D,2367,EC,Assessing the impacts of Protected Areas on local economies,H1,UNEP DEWA,20000,15000
1324,2007,11,D,2391,CR,Seagrass Database,C2,University of New Hampshire,10000,7500
1325,2007,11,D,2400,DG,West and Central Africa IMAPS,C3,IPIECA,60000,45000
1326,2007,11,D,2405,LF,Qinetiq,C2,Qinetiq,5000,3750
1327,2007,11,D,2409,DG,Advanced Alerts for Conservation,C2,World Bank,200000,150000
1328,2007,11,D,2439,PB,Information management in Protected Areas,D4,PRONATURA and Government,80000,60000
1329,2007,11,D,2458,EC,Island Assessment,H1,Nippon Foundation,260805.3088,195603.9816
1330,2007,11,D,2460,LM,Regional Scenario Manual,D4,CBD,0,0
1331,2007,11,D,2527,THJ,Protected Areas for the Mining Sector,A1,Intierra,0,0
1332,2007,11,D,2528,EC,Critical Ecosystem Dataset,H1,,0,0
1333,2007,11,D,2529,JMH,Satellite Imagery,A1,"WRI, National Geographic",0,0
1334,2007,11,D,2530,EC,Kelp Dataset,H1,TNC,0,0
1335,2007,11,D,2531,EC,Global Marine Database,H1,NOAA,0,0
1336,2007,11,D,2532,CDB,Practical definitions for marine monitoring,D5,JNCC with MRAG Ltd,6500,0
1337,2007,11,D,2533,JMH,"Joint programme for biofuels, landuse and biodiversity",A1,Corporate target,0,0
1338,2007,11,D,2536,JDH,Scholarship scheme for UNEP-WCMC,A1,,0,0
1339,2007,11,D,2542,EC,Revised World Atlas of Mangroves,H1,ITTO and others,0,0
1340,2007,11,D,2559,LM,VivoCarbon ,D4,AusAid,0,0
1341,2007,11,D,2568,CB,Biodiversity Offsets,D4,,0,0
1342,2007,11,D,2535,NA,National Agency Biodiversity Assessment Tool (NABAT),D4,,0,0
1343,2007,11,D,2573,LM,Climate change & AZE,D4,,0,0
1344,2007,11,D,1243A,KT,MBRS watershed mod follow up,H1,USAID,0,0
1345,2007,11,D,2215,CDB,MIGRATORY WATER BIRDS (GEF Flyways additional funding),D5,UNEP DEWA,13338.74263,13338.74263
1346,2007,11,D,2600,LM,"Planning for Climate Change: The effects of climate change on protected area coverage of forest ecosystems
",D5,,34324,34324
1347,2007,11,D,2601,CDB,"Transboundary Conservation Governance:
Tools for Strengthening Global Co-operation
",D5,,61500,42500
1348,2007,11,D,2604,EC,Pressures in the UK marine environment,H1,MRAG + others,20000,5000
1349,2007,11,D,2607,JMH,Proteus,D1,ENI,0,0
1350,2007,11,D,2608,JMH,Proteus,D1,ConocoPhillips,0,0
1351,2007,11,D,2609,CB,Preparation for the World Congress,D4,Unknown,0,0
1352,2007,11,D,2621,DG,IPIECA: Modernise IMAPS facility,C2,IPIECA,0,0
1353,2007,11,D,2613,LM,Knowledge Transfer Network - forest carbon,D2,NERC,0,0
1354,2007,11,D,2594,CDB,Developing Global Updates for the World Database on Protected Areas,D5,,61000,44600
1355,2007,11,D,1172N,JMH,Great Apes Online,D1,Arcus Foundation,200000,200000
1356,2007,11,D,2404,LM,PEP-DC,D2,Dutch Government,0,0
1357,2007,11,D,2455,DG,Earthwatch Updates,C2,,0,0
1358,2007,11,D,2516,IL,IPYDLE,D4,,0,0
1359,2007,11,D,1172L,LM,French WAGAC,D2,UNESCO,0,0
1360,2007,11,D,2066E,EC,US ICRI Secretariat 2007/8,H1,US ICRI Secretariat,0,0
1361,2007,11,D,2041,LM,Integrated Amazon Mapping,D2,,0,0
1362,2007,11,D,2138B,LM,FSC - 3rd Phase,D2,WWF International,0,0
1363,2007,11,D,2303,CDB, IABIN PA's Thematic Network,C2,IABIN,0,0
1364,2007,11,D,2345,NA,GECC GBSC,D4,Defra,0,0
1365,2007,11,D,2428,CB,Decision support to Timber Tree Industry,D4,I.H.S.,0,0
1366,2007,11,D,2436,EC,Dredging Policies,D4,Defra,0,0
1367,2007,11,D,2454,DJ,Technology4 Conservation,C3,UNEP-Admin,0,0
1368,2007,11,D,2623,HG,Africa Timber Tree Workshop,D3,Netherland Government & others,100000,50000
1369,2007,11,D,2624,LM,Arctic Coastal Zones At Risk,D2,,0,0
1370,2007,11,D,2629,EC,Support to UNGA 60/30 Assessment,H1,UNGA,9659.455883,7727.564706
1371,2007,11,D,2626,JMH,Atlas of Biodiversity & Climate Change,A1,Defra,100000,100000
1372,2007,11,D,2627,JMH,Reconciling KBAs & HVCFs,A1,Various inc TNC & CI,200000,200000
1373,2007,11,D,2037C,LM,FRIS carbon,D2,,0,0
1374,2007,11,D,2632,KB,Value of Biodiversity in LDCs,D4,Defra,35000,0
1375,2007,11,D,2386,GF,EU Wildlife Trade Yearbook,D3,,0,0
1376,2007,11,F,2591,DG,Information Management Guidelines,C2,World Bank,48859.61655,1
1377,2007,11,F,2515,JDH,BioVeritas - Using EO data to develop a biodiversity monitoring system for Africa,A1,EC 7th Framework (Cooperation),2400000,3
1378,2007,11,F,2543,PH,Usefulness of National Reports & NBSAPs,D3,UNEP DELC,10256.41026,1
1379,2007,11,F,2401,DG,Support to Regional Seas,C3,IMO,5000,1
1380,2007,11,F,2589,CB,Reviewing targets and indicators for the ecosystem approach,D4,Defra,56489,2
1381,2007,11,F,2446,CDB,Protected Areas Climate Change,D5,"UNEP PCMU, UNEP DEWA",490217.3861,3
1382,2007,11,F,2603,KT,Indian Ocean ESPA,H1,NERC,249975,2
1383,2007,11,F,2509,CB,Danzer WDPA support,D5,Danzer,15000,1
1384,2007,11,F,2413B,CB,MA methods manual,D4,UNDP,25000,1
1385,2007,11,F,2189I,NA,2010 BIP Indicators DEFRA,D4,Defra,48297.27941,1
1386,2007,12,1,2283,MW,African Freshwater,D4,EU,42884,816
1387,2007,12,1,2283,MW,African Freshwater,D4,EU,-42068.05347,816
1388,2007,12,1,2283A,MW,African Freshwater - Co-finance,D4,UNEP-WCMC,19450,19450
1389,2007,12,1,2489,GF,Amended Cites Secretariat Support 2007,D3,CITES,14505,14505
1390,2007,12,1,2512,CB,EC support for CBD implementation (ENTRP) 2512A-D,D4,EC,257908.5825,171246.8775
1391,2007,12,1,2539,CB,FCO MA Meetings,D4,Defra,70000,16000
1392,2007,12,1,2587,CB,Scoping the potential benefits of undertaking an ecosystem assessment for England,D4,Defra,11145,11145
1393,2007,12,A,2127b,EC,Coral Disease V,H1,NOAA,12516.83514,6258.417572
1394,2007,12,A,2244,THJ,IHS Energy,A1,Cairn Energy,2353.165007,2353.165007
1395,2007,12,A,2244,THJ,IHS Energy,A1,Ecopetrol,5000,5000
1396,2007,12,A,2368,EC,Dredging Policies (Travel & DSA Only),H1,Defra also local governments,5000,5000
1397,2007,12,A,2398,PH,Workshop on further developing knowledge management,D4,UNEP DELC,22530.30326,20277.27293
1398,2007,12,A,2453,GF,CMS Party Reports 2008,D3,CMS Secretariat,40053.87246,30000
1399,2007,12,A,2490,GF,CITES Support 2008-11,D3,CITES,250336.7029,250336.7029
1400,2007,12,A,2521,CB,GBIF for 2010,D4,GBIF,22106.44993,22106.44993
1401,2007,12,A,2538,CB,FCO MA Follow Up,D4,FCO,70000,24000
1402,2007,12,A,2540,KB,COPI: 2010 biodiversity target,D4,EC,11790.10663,8842.57997
1403,2007,12,A,2540A,KB,Scoping the Science for the Economics of Biodiversity Loss,D4,EC,87564.38504,17962.22745
1404,2007,12,A,2558A,KB,PEP RED,D4,WWF,10000,8750
1405,2007,12,A,2579,MM,UNEP Project Document 2008-9 (FP),D1,UNEP,200269.3623,150202.0217
1406,2007,12,A,2560,CB,"EC Biodiversity Knowledge Base
",D4,EC  via MRAG,151727,41839.7
1407,2007,12,A,2572,LM,Climate change & Natura 2000,D4,EC,37660.55,19206.8805
1408,2007,12,A,2574,CB,Technical Support to the EU Strategy on IAS,D4,EC,184220.416,58950.53313
1409,2007,12,A,2628,MM,UNEP Project Document 2008-9 (OTA),D1,UNEP,250336.7029,187752.5271
1410,2007,12,A,3000,DG,Proteus 2012 - BP,C2,BP,100000,82104.57002
1411,2007,12,A,3001,DG,Proteus 2012 - Chevron,C2,Chevron,101528,83359.12785
1412,2007,12,A,3002,DG,Proteus 2012 - BHP Billiton,D5,BHP Billiton,75000,61578.42752
1413,2007,12,A,3003,DG,Proteus 2012 - Shell,C2,Shell,100000,82104.57002
1414,2007,12,A,3004,DG,Proteus 2012 - Total,C2,Total Foundation,100000,82104.57002
1415,2007,12,A,3005,DG,Proteus 2012 - Anglo American,C2,AngloAmerican,100000,82104.57002
1416,2007,12,A,3006,DG,Proteus 2012 - Rio Tinto,D5,Rio Tinto,100000,82104.57002
1417,2007,12,A,3007,DG,Proteus 2012 - Repsol,D5,Repsol,100000,82104.57002
1418,2007,12,A,3008,DG,Proteus 2012 - Statoil,D5,Statoil,100000,82104.57002
1419,2007,12,A,3009,DG,Proteus 2012 - Premier Oil,C2,Premier Oil,10000,8210.457002
1420,2007,12,A,3010,DG,Proteus 2012 - Exxon Mobil,D5,Exxon Mobil,91375.2,75023.21507
1421,2007,12,B,950,JMH,ECOiSHARE,A1,Rio Tinto,50000,12500
1422,2007,12,B,950,JMH,ECOiSHARE,A1,BP,50000,12500
1423,2007,12,B,1172N,JMH,Great Apes Online,D3,Arcus Foundation,150000,80000
1424,2007,12,B,2127C,EC,Global Coral disease database ,H1,NOAA/Japanese government + possibly PADI,25033.67029,23507.11707
1425,2007,12,B,2639,GF,EU Wildlife Trade Support Services 2008-2010,D3,CITES,800000,720000
1426,2007,12,B,2395,CDB,Web-based Literature  review - conservation,D5,"Manchester Uni, ESRC",5000,5000
